color,comment_count,generalCount,goodCount,id,name,poorCount,price,type,url
"子夜黑,赤茶红,深湖蓝",,,,100008391396,vivo U3x 6GB+64GB 深湖蓝 5000mAh大电池 18W双引擎闪充 超广角AI三摄 骁龙665处理器 全网通4G手机,,,"3GB+32GB,3GB+64GB,4GB+64GB,6GB+64GB",
"子夜黑,赤茶红,深湖蓝",,,,100008391396,vivo U3x 6GB+64GB 深湖蓝 5000mAh大电池 18W双引擎闪充 超广角AI三摄 骁龙665处理器 全网通4G手机,,999.00,"3GB+32GB,3GB+64GB,4GB+64GB,6GB+64GB",
"光钻绿,光钻蓝,幻境白特别版",,,,100005223585,realme 真我Q 4800万超广角四摄 高通骁龙712AIE 20W VOOC闪充 4035mAh大电池 4GB+64GB 幻境白 游戏智能手机,,,"4GB+64GB,6GB+64GB,8GB+128GB",
"子夜黑,赤茶红,深湖蓝",17万+,400+,4.5万+,100008391396,vivo U3x 6GB+64GB 深湖蓝 5000mAh大电池 18W双引擎闪充 超广角AI三摄 骁龙665处理器 全网通4G手机,400+,999.00,"3GB+32GB,3GB+64GB,4GB+64GB,6GB+64GB",
"黑色,金色,蓝色",,,,7421462,华为 HUAWEI 畅享8e 青春版 2GB+32GB全面屏 金色 全网通版 移动联通电信4G手机 双卡双待,,,,
"光钻绿,光钻蓝,幻境白特别版",14万+,600+,4.2万+,100005223585,realme 真我Q 4800万超广角四摄 高通骁龙712AIE 20W VOOC闪充 4035mAh大电池 4GB+64GB 幻境白 游戏智能手机,600+,,"4GB+64GB,6GB+64GB,8GB+128GB",
"光钻绿,光钻蓝,幻境白特别版",14万+,600+,4.2万+,100005223585,realme 真我Q 4800万超广角四摄 高通骁龙712AIE 20W VOOC闪充 4035mAh大电池 4GB+64GB 幻境白 游戏智能手机,600+,1098.00,"4GB+64GB,6GB+64GB,8GB+128GB",
"幻夜黑,宝石蓝,琥珀棕,摩登黑",,,,100004323338,华为 HUAWEI 畅享 9e 实力大音量高像素珍珠屏3GB+64GB幻夜黑全网通版双4G手机,,,,
"黑色,金色,蓝色",,,,7421462,华为 HUAWEI 畅享8e 青春版 2GB+32GB全面屏 金色 全网通版 移动联通电信4G手机 双卡双待,,499.00,,
"黑色,金色,蓝色",41万+,1800+,23万+,7421462,华为 HUAWEI 畅享8e 青春版 2GB+32GB全面屏 金色 全网通版 移动联通电信4G手机 双卡双待,2200+,499.00,,
"幻夜黑,宝石蓝,琥珀棕,摩登黑",,,,100004323338,华为 HUAWEI 畅享 9e 实力大音量高像素珍珠屏3GB+64GB幻夜黑全网通版双4G手机,,799.00,,
"幻夜黑,樱雪晴空,绮境森林",,,,100010547798,,,,,
"幻夜黑,宝石蓝,琥珀棕,摩登黑",16万+,400+,3.3万+,100004323338,华为 HUAWEI 畅享 9e 实力大音量高像素珍珠屏3GB+64GB幻夜黑全网通版双4G手机,400+,799.00,,
"极夜黑,极光色,幻影黑,幻彩粉",,,,100005787036,vivo Z5x 8GB+128GB 极光色 极点屏手机 5000mAh大电池 三摄拍照手机 移动联通电信全网通4G手机,,,"6GB+64GB,6GB+128GB,8GB+128GB",
"幻夜黑,樱雪晴空,绮境森林",,,,100010547798,,,2199.00,,
"魅海星蓝,幻夜星河,冰岛幻境,曙光之橙",,,,100010260230,,,,"全网通（6GB 128GB）,全网通（8GB 128GB）",
"极夜黑,极光色,幻影黑,幻彩粉",,,,100005787036,vivo Z5x 8GB+128GB 极光色 极点屏手机 5000mAh大电池 三摄拍照手机 移动联通电信全网通4G手机,,1598.00,"6GB+64GB,6GB+128GB,8GB+128GB",
"幻夜黑,樱雪晴空,绮境森林",9.8万+,200+,2万+,100010547798,,200+,2199.00,,
"冰际蓝,冰川银",,,,100004885543,一加 OnePlus 7T 90Hz流体屏 骁龙855Plus旗舰 4800万超广角三摄  8GB+256GB 冰川银 全面屏拍照游戏手机,,,"8GB 256GB,8GB 128GB",
"魅海星蓝,幻夜星河,冰岛幻境,曙光之橙",,,,100010260230,,,2999.00,"全网通（6GB 128GB）,全网通（8GB 128GB）",
"极夜黑,极光色,幻影黑,幻彩粉",56万+,2200+,17万+,100005787036,vivo Z5x 8GB+128GB 极光色 极点屏手机 5000mAh大电池 三摄拍照手机 移动联通电信全网通4G手机,3300+,1598.00,"6GB+64GB,6GB+128GB,8GB+128GB",
"幻夜黑,翡冷翠,天空之境,赤茶橘",,,,100008046056,华为 HUAWEI 畅享10 Plus 超高清全视屏前置悬浮式镜头4800万超广角AI三摄 4GB+128GB幻夜黑全网通双4G手机,,,"4GB+128GB,6GB+128GB,8GB+128GB",
"冰际蓝,冰川银",,,,100004885543,一加 OnePlus 7T 90Hz流体屏 骁龙855Plus旗舰 4800万超广角三摄  8GB+256GB 冰川银 全面屏拍照游戏手机,,3199.00,"8GB 256GB,8GB 128GB",
"魅海星蓝,幻夜星河,冰岛幻境,曙光之橙",9.8万+,400+,2.5万+,100010260230,,500+,2999.00,"全网通（6GB 128GB）,全网通（8GB 128GB）",
"幻夜黑,翡冷翠,天空之境,赤茶橘",,,,100008046056,华为 HUAWEI 畅享10 Plus 超高清全视屏前置悬浮式镜头4800万超广角AI三摄 4GB+128GB幻夜黑全网通双4G手机,,1399.00,"4GB+128GB,6GB+128GB,8GB+128GB",
"天空之境,亮黑色,极光色,赤茶橘,珠光贝母,墨玉蓝",,,,100002795959,华为 HUAWEI P30 Pro 超感光徕卡四摄10倍混合变焦麒麟980芯片屏内指纹 8GB+128GB极光色全网通版双4G手机,,,"8GB+128GB,8GB+256GB,8GB+512GB",
"冰际蓝,冰川银",11万+,500+,2.7万+,100004885543,一加 OnePlus 7T 90Hz流体屏 骁龙855Plus旗舰 4800万超广角三摄  8GB+256GB 冰川银 全面屏拍照游戏手机,500+,3199.00,"8GB 256GB,8GB 128GB",
"深海微光,紫玉幻境,花影惊鸿",,,,100010338196,Redmi K30 王一博同款 120Hz流速屏 前置挖孔双摄 6GB+128GB 深海微光 游戏智能手机 小米 红米,,,"6GB+128GB,8GB+128GB,8GB+256GB",
"天空之境,亮黑色,极光色,赤茶橘,珠光贝母,墨玉蓝",,,,100002795959,华为 HUAWEI P30 Pro 超感光徕卡四摄10倍混合变焦麒麟980芯片屏内指纹 8GB+128GB极光色全网通版双4G手机,,4988.00,"8GB+128GB,8GB+256GB,8GB+512GB",
"幻夜黑,翡冷翠,天空之境,赤茶橘",25万+,500+,5.1万+,100008046056,华为 HUAWEI 畅享10 Plus 超高清全视屏前置悬浮式镜头4800万超广角AI三摄 4GB+128GB幻夜黑全网通双4G手机,600+,1399.00,"4GB+128GB,6GB+128GB,8GB+128GB",
"幻夜黑,魅焰红,极光蓝,冰岛白",,,,100008031678,荣耀Play3 6.39英寸魅眼全视屏 4000mAh大电池 真4800万AI三摄 麒麟710F自研芯片 畅玩全网通6GB+64GB 幻夜黑,,,"全网通（4GB 64GB）,全网通（6GB 64GB）,全网通（4GB 128GB）,全网通（6GB 128GB）",
"深海微光,紫玉幻境,花影惊鸿",17万+,700+,3.9万+,100010338196,Redmi K30 王一博同款 120Hz流速屏 前置挖孔双摄 6GB+128GB 深海微光 游戏智能手机 小米 红米,600+,,"6GB+128GB,8GB+128GB,8GB+256GB",
"深海微光,紫玉幻境,花影惊鸿",17万+,700+,3.9万+,100010338196,Redmi K30 王一博同款 120Hz流速屏 前置挖孔双摄 6GB+128GB 深海微光 游戏智能手机 小米 红米,600+,1699.00,"6GB+128GB,8GB+128GB,8GB+256GB",
"绮境森林,仲夏紫,亮黑色,苏音蓝",,,,100003717483,华为 HUAWEI nova 5 Pro 前置3200万人像超级夜景4800万AI四摄麒麟980芯片8GB+128GB绮境森林全网通双4G手机,,,"8GB+128GB,8GB+256GB",
"幻夜黑,魅焰红,极光蓝,冰岛白",,,,100008031678,荣耀Play3 6.39英寸魅眼全视屏 4000mAh大电池 真4800万AI三摄 麒麟710F自研芯片 畅玩全网通6GB+64GB 幻夜黑,,999.00,"全网通（4GB 64GB）,全网通（6GB 64GB）,全网通（4GB 128GB）,全网通（6GB 128GB）",
"天空之境,亮黑色,极光色,赤茶橘,珠光贝母,墨玉蓝",63万+,1300+,16万+,100002795959,华为 HUAWEI P30 Pro 超感光徕卡四摄10倍混合变焦麒麟980芯片屏内指纹 8GB+128GB极光色全网通版双4G手机,2800+,4988.00,"8GB+128GB,8GB+256GB,8GB+512GB",
"暗夜绿色,金色,深空灰色,银色",,,,100008348548,Apple iPhone 11 Pro Max (A2220) 256GB 暗夜绿色  移动联通电信4G手机 双卡双待,,,"64GB,256GB,512GB",
"绮境森林,仲夏紫,亮黑色,苏音蓝",,,,100003717483,华为 HUAWEI nova 5 Pro 前置3200万人像超级夜景4800万AI四摄麒麟980芯片8GB+128GB绮境森林全网通双4G手机,,2699.00,"8GB+128GB,8GB+256GB",
